fecha,jornada,grupo,equipo_local,equipo_visita,goles_esperados_local,goles_esperados_visita,prob_victoria_local,prob_empate,prob_victoria_visita,prob_over_0_5,marcador_mas_probable
2026-06-11,1,A,Mexico,South Africa,2.42,0.52,0.7937,0.1458,0.0605,0.9463,2-0
2026-06-11,1,A,South Korea,Czech Republic,1.32,0.88,0.4655,0.287,0.2476,0.8867,1-0
2026-06-12,1,B,Canada,Bosnia and Herzegovina,1.95,0.66,0.6771,0.2069,0.116,0.9251,1-0
2026-06-13,1,B,Qatar,Switzerland,0.58,1.96,0.0994,0.2014,0.6992,0.9194,0-1
2026-06-13,1,C,Brazil,Morocco,1.26,1.01,0.4187,0.288,0.2933,0.8939,1-1
2026-06-13,1,C,Haiti,Scotland,0.84,1.3,0.2374,0.29,0.4726,0.8802,0-1
2026-06-12,1,D,United States,Paraguay,1.64,1.19,0.4761,0.2484,0.2755,0.9389,1-1
2026-06-13,1,D,Australia,Turkey,1.05,1.02,0.3542,0.3067,0.3392,0.8719,1-1
2026-06-14,1,E,Germany,Curaçao,3.03,0.54,0.8627,0.0986,0.0387,0.9709,3-0
2026-06-14,1,E,Ivory Coast,Ecuador,0.76,1.28,0.22,0.2956,0.4844,0.8678,0-1
2026-06-14,1,F,Netherlands,Japan,1.12,1.08,0.361,0.2966,0.3424,0.8861,1-1
2026-06-14,1,F,Sweden,Tunisia,1.35,1.07,0.43,0.2768,0.2932,0.9084,1-1
2026-06-15,1,G,Belgium,Egypt,1.56,0.78,0.5563,0.2586,0.1851,0.9018,1-0
2026-06-15,1,G,Iran,New Zealand,1.61,0.67,0.5978,0.2506,0.1517,0.8956,1-0
2026-06-15,1,H,Spain,Cape Verde,2.63,0.46,0.835,0.1214,0.0436,0.9538,2-0
2026-06-15,1,H,Saudi Arabia,Uruguay,0.64,1.55,0.1515,0.2578,0.5907,0.8866,0-1
2026-06-16,1,I,France,Senegal,1.7,0.8,0.5855,0.2424,0.1721,0.9155,1-0
2026-06-16,1,I,Iraq,Norway,0.79,1.64,0.176,0.249,0.575,0.9095,0-1
2026-06-16,1,J,Argentina,Algeria,1.81,0.62,0.659,0.2222,0.1188,0.9095,1-0
2026-06-16,1,J,Austria,Jordan,1.94,0.73,0.6563,0.2121,0.1316,0.9291,1-0
2026-06-17,1,K,Portugal,DR Congo,1.61,0.66,0.6013,0.25,0.1487,0.8947,1-0
2026-06-17,1,K,Uzbekistan,Colombia,0.74,1.73,0.1529,0.2363,0.6108,0.9133,0-1
2026-06-17,1,L,England,Croatia,1.62,0.85,0.5554,0.2518,0.1928,0.9131,1-0
2026-06-17,1,L,Ghana,Panama,0.95,1.36,0.2588,0.28,0.4612,0.8982,0-1
2026-06-18,2,A,Mexico,South Korea,1.63,0.8,0.5701,0.2502,0.1797,0.9096,1-0
2026-06-18,2,A,South Africa,Czech Republic,0.87,1.31,0.2444,0.2884,0.4672,0.8842,0-1
2026-06-18,2,B,Canada,Qatar,2.27,0.55,0.7648,0.163,0.0722,0.9392,2-0
2026-06-18,2,B,Bosnia and Herzegovina,Switzerland,0.7,1.68,0.1519,0.2423,0.6058,0.9056,0-1
2026-06-19,2,C,Brazil,Haiti,2.22,0.55,0.7548,0.1692,0.076,0.9359,2-0
2026-06-19,2,C,Morocco,Scotland,1.53,0.74,0.5586,0.2625,0.1789,0.8944,1-0
