date,tournament,tipo_torneo,home_team,away_team,home_score,away_score,neutral,elo_home,elo_away,elo_diff,home_forma_pts,home_forma_dif_gol,away_forma_pts,away_forma_dif_gol,home_gf_prom,home_gc_prom,away_gf_prom,away_gc_prom
2018-01-02,Gulf Cup,amistoso,Iraq,United Arab Emirates,0,0,True,1636.9248578845345,1632.8452074985173,4.079650386017192,2.0,0.7,1.5,0.2,1.690909090909091,0.7090909090909091,0.7454545454545455,0.38181818181818183
2018-01-02,Gulf Cup,amistoso,Oman,Bahrain,1,0,True,1583.452592654063,1528.8779767740082,54.57461588005481,2.2,2.6,1.9,1.1,2.309090909090909,0.6545454545454545,1.3818181818181818,0.4909090909090909
2018-01-05,Gulf Cup,amistoso,Oman,United Arab Emirates,0,0,True,1591.8946016701761,1632.962623879203,-41.06802220902682,2.2,1.3,1.6,0.4,1.8909090909090909,0.5272727272727272,0.5818181818181818,0.2545454545454545
2018-01-07,Friendly,amistoso,Estonia,Sweden,1,1,True,1554.638569922101,1753.126074989916,-198.48750506781516,2.0,1.0,2.0,1.6,1.6363636363636365,0.7090909090909091,2.1636363636363636,0.7636363636363637
2018-01-11,Friendly,amistoso,Indonesia,Iceland,0,6,False,1403.2446871203279,1707.9827841810113,-204.73809706068346,1.7,0.4,1.9,0.7,1.5636363636363637,0.8909090909090909,1.4363636363636363,0.6545454545454545
2018-01-11,Friendly,amistoso,Jordan,Finland,1,2,True,1561.0027717744808,1589.0834304821533,-28.080658707672455,1.7,1.4,1.6,0.3,1.6181818181818182,0.8,1.490909090909091,0.8545454545454545
2018-01-11,Friendly,amistoso,Denmark,Sweden,0,1,True,1731.11374020811,1747.9629929564633,-16.849252748353365,2.0,1.4,1.8,1.2,2.272727272727273,0.5818181818181818,1.8909090909090909,0.7818181818181819
2018-01-14,Friendly,amistoso,Indonesia,Iceland,1,4,False,1398.5384889070394,1712.6889823942997,-214.1504934872603,1.4,-0.3,2.2,1.4,1.309090909090909,1.8,2.290909090909091,0.5454545454545454
2018-01-27,Friendly,amistoso,Moldova,South Korea,0,1,True,1351.6021281460878,1739.5658116838893,-387.96368353780144,0.6,-1.0,1.3,0.0,0.4727272727272727,1.8363636363636364,1.8,1.3272727272727274
2018-01-28,Friendly,amistoso,United States,Bosnia and Herzegovina,0,0,False,1751.481324180702,1697.7776972975485,153.70362688315345,2.0,1.0,1.7,0.7,1.6545454545454545,0.9818181818181818,2.3636363636363638,1.4363636363636363
2018-01-28,Friendly,amistoso,Yorkshire,Ellan Vannin,1,1,False,1500.0,1525.6024079714834,74.39759202851656,,,1.4,0.6,,,1.6363636363636365,1.8909090909090909
2018-01-30,Friendly,amistoso,Azerbaijan,Moldova,0,0,True,1427.062201904089,1349.6661307117827,77.39607119230641,1.0,-0.9,0.5,-1.1,1.3272727272727274,2.4,0.34545454545454546,1.709090909090909
2018-01-30,Friendly,amistoso,Jamaica,South Korea,2,2,True,1572.1991561612765,1741.5018091181944,-169.30265295691788,1.4,-0.2,1.6,0.2,1.2363636363636363,1.8363636363636364,1.709090909090909,1.0545454545454545
2018-01-31,Friendly,amistoso,Mexico,Bosnia and Herzegovina,1,0,True,1859.7981209785355,1701.9339708386258,157.86415013990973,1.8,0.5,1.8,1.1,1.6727272727272726,1.2363636363636363,1.981818181818182,1.1818181818181819
2018-02-03,Friendly,amistoso,Latvia,South Korea,0,1,True,1413.397433597937,1736.9811626237386,-323.58372902580163,0.4,-1.5,1.6,0.2,1.4181818181818182,2.2181818181818183,1.8181818181818181,1.2
2018-02-26,Friendly,amistoso,Saudi Arabia,Moldova,3,0,False,1631.3057736834905,1351.8576378315915,379.448135851899,1.0,-0.6,0.3,-1.3,0.7818181818181819,1.509090909090909,0.23636363636363636,1.4
2018-02-28,Friendly,amistoso,Iraq,Saudi Arabia,4,1,False,1636.8074415038488,1633.3291965890044,103.47824491484448,2.0,0.7,1.3,-0.2,1.4363636363636363,0.5818181818181818,1.1272727272727272,1.2
2018-03-17,Friendly,amistoso,Iran,Sierra Leone,4,0,False,1803.8895887900374,1492.6197715522094,411.26981723782797,2.4,0.9,1.1,-0.6,1.4363636363636363,0.5818181818181818,0.8909090909090909,0.8909090909090909
2018-03-21,Friendly,amistoso,Zambia,Zimbabwe,2,2,False,1574.8338783955157,1556.8734895937714,117.96038880174433,1.7,0.3,2.0,1.3,1.4545454545454546,1.1818181818181819,2.6545454545454548,1.3454545454545455
2018-03-21,Friendly,amistoso,Tahiti,New Caledonia,0,0,False,1517.9047262015517,1543.869995849406,74.03473035214574,1.1,-1.6,1.0,-0.4,1.6545454545454545,1.8727272727272728,1.3454545454545455,1.8
2018-03-21,Friendly,amistoso,South Africa,Angola,1,1,True,1592.5547179510077,1438.858036453659,153.69668149734866,1.2,0.0,0.8,-0.7,1.1636363636363636,1.4363636363636363,0.4,0.8
2018-03-21,Friendly,amistoso,Madagascar,Togo,0,0,True,1445.2366133003395,1487.8465512540715,-42.609937953732015,1.9,0.8,1.0,-0.2,1.8181818181818181,0.7272727272727273,1.5454545454545454,1.018181818181818
2018-03-21,Friendly,amistoso,Jordan,Kuwait,1,0,False,1551.8092428291009,1524.5702763087925,127.2389665203084,1.4,0.9,1.2,0.6,1.4363636363636363,1.0545454545454545,0.6,0.8545454545454545
2018-03-21,Friendly,amistoso,Iraq,Qatar,2,3,False,1643.914146704119,1523.7198872194472,220.19425948467187,2.2,1.0,0.8,-0.1,1.9090909090909092,0.6363636363636364,1.4545454545454546,1.290909090909091
2018-03-21,Friendly,amistoso,Antigua and Barbuda,Bermuda,3,2,False,1394.9324103900074,1436.3708886227641,58.56152176724322,1.5,-0.2,1.3,0.2,0.7454545454545455,1.4,1.490909090909091,2.036363636363636
2018-03-21,Friendly,amistoso,Andorra,Liechtenstein,1,0,True,1109.1250878359185,1224.9089351369478,-115.78384730102925,0.4,-2.1,0.4,-2.7,0.12727272727272726,2.090909090909091,0.45454545454545453,3.090909090909091
2018-03-21,Friendly,amistoso,Laos,Cambodia,0,1,False,1167.2570337193013,1136.4538722660925,130.80316145320876,1.0,-1.2,0.3,-2.3,1.0363636363636364,2.4909090909090907,0.6,2.6363636363636362
2018-03-22,Friendly,amistoso,Macau,Mauritius,0,1,False,1103.1442110744072,1272.3171352340526,-69.17292415964539,0.8,-0.7,0.4,-1.3,1.309090909090909,2.4909090909090907,0.6,2.309090909090909
2018-03-22,Friendly,amistoso,Thailand,Gabon,0,0,False,1507.9278746309076,1509.60938664628,98.31848798462761,1.1,-0.5,0.8,-0.7,1.290909090909091,1.0909090909090908,0.36363636363636365,1.1272727272727272
2018-03-22,Friendly,amistoso,Slovakia,United Arab Emirates,2,1,True,1696.668391649606,1631.786065713819,64.8823259357871,1.9,0.9,1.7,0.6,1.3636363636363635,0.8,0.41818181818181815,0.16363636363636364
2018-03-22,Friendly,amistoso,Philippines,Fiji,3,2,False,1381.7113641774117,1536.068159996641,-54.35679581922932,1.3,-0.5,1.6,1.3,1.2181818181818183,1.8,2.5454545454545454,0.6909090909090909
2018-03-22,Friendly,amistoso,Nicaragua,Cuba,3,1,False,1354.6457152529765,1467.9794631886973,-13.333747935720794,0.1,-1.5,0.6,-2.3,0.2727272727272727,1.9454545454545455,0.32727272727272727,2.5454545454545454
2018-03-22,Friendly,amistoso,Malta,Luxembourg,0,1,False,1252.7591309042716,1332.2004548435705,20.558676060701146,0.4,-1.8,1.1,-1.6,0.2727272727272727,2.309090909090909,0.8363636363636363,2.309090909090909
2018-03-22,Friendly,amistoso,Malaysia,Mongolia,2,2,False,1307.7191843060273,1232.1772082401603,175.54197606586695,0.2,-1.3,1.0,0.1,0.6363636363636364,2.290909090909091,1.6727272727272726,2.3636363636363638
2018-03-22,AFC Asian Cup qualification,eliminatoria,Kyrgyzstan,Myanmar,5,1,True,1414.4592864316025,1340.9125989584388,73.54668747316373,2.0,0.9,1.4,-0.1,2.090909090909091,0.7272727272727273,1.7454545454545454,1.509090909090909
2018-03-22,Friendly,amistoso,Denmark,Panama,1,0,False,1721.5983208555529,1700.844722548907,120.75359830664593,1.9,1.3,1.6,0.6,1.9090909090909092,0.6545454545454545,1.7454545454545454,1.2181818181818183
2018-03-22,Friendly,amistoso,Dominican Republic,Turks and Caicos Islands,4,0,False,1420.485768149052,1343.2385634614116,177.24720468764053,1.5,0.2,0.6,-2.5,1.7636363636363637,1.1454545454545455,1.0909090909090908,3.981818181818182
2018-03-22,Friendly,amistoso,China,Wales,0,6,False,1604.0712423431926,1660.6883841982944,43.38285814489814,1.2,0.1,1.4,0.1,1.290909090909091,1.7818181818181817,0.7454545454545455,0.7818181818181819
2018-03-22,Friendly,amistoso,Burkina Faso,Guinea-Bissau,2,0,True,1619.0042425442418,1403.1565135398223,215.84772900441953,1.1,-0.1,1.1,-0.4,1.9272727272727272,1.6,0.5636363636363636,1.1636363636363636
2018-03-22,Friendly,amistoso,Belize,Grenada,4,2,False,1376.9612090886276,1336.9182767176048,140.04293237102274,0.8,-0.8,1.1,-0.9,0.7636363636363637,2.0727272727272728,1.1272727272727272,2.1272727272727274
2018-03-22,Friendly,amistoso,Bahrain,Palestine,0,0,False,1520.435967757895,1561.722611746105,58.71335601178998,1.6,0.9,2.4,2.6,1.0909090909090908,0.5818181818181818,4.381818181818182,0.4909090909090909
2018-03-22,Friendly,amistoso,Algeria,Tanzania,4,1,False,1643.0615187291671,1422.0032738533878,321.05824487577934,1.4,0.2,0.8,-0.4,1.5636363636363637,1.0363636363636364,0.6727272727272727,1.2363636363636363
2018-03-22,Friendly,amistoso,Faroe Islands,Latvia,1,1,True,1299.7881956021033,1410.7096550881463,-110.92145948604298,0.9,-1.2,0.4,-1.3,0.34545454545454546,1.509090909090909,1.2363636363636363,1.9454545454545455
2018-03-23,Friendly,amistoso,Peru,Croatia,2,0,True,1809.1251265804972,1804.7699356062571,4.355190974240031,2.2,0.8,1.7,0.3,1.290909090909091,0.4909090909090909,1.290909090909091,0.6363636363636364
2018-03-23,Friendly,amistoso,Poland,Nigeria,0,1,False,1758.1867636283105,1693.9433896898001,164.24337393851033,2.0,1.1,1.8,0.7,2.090909090909091,1.1272727272727272,1.8,1.2727272727272727
2018-03-23,Friendly,amistoso,Portugal,Egypt,2,1,True,1871.9619327970654,1708.318241928149,163.64369086891634,2.6,1.8,1.7,0.4,2.090909090909091,0.34545454545454546,1.0363636363636364,0.6727272727272727
2018-03-23,Friendly,amistoso,Russia,Brazil,0,3,False,1694.4305844524845,2004.6384849283652,-210.2079004758807,1.3,0.4,2.1,1.6,1.6727272727272726,1.5272727272727273,1.690909090909091,0.34545454545454546
2018-03-23,Friendly,amistoso,Scotland,Costa Rica,0,1,False,1684.9894584789336,1770.9573503051333,14.032108173800225,1.5,0.0,1.2,-0.3,1.3636363636363635,0.9090909090909091,0.7454545454545455,1.690909090909091
2018-03-23,Friendly,amistoso,Senegal,Uzbekistan,1,1,True,1773.0918379689128,1650.700483308235,122.39135466067773,2.0,1.0,1.1,-0.2,1.6727272727272726,0.4909090909090909,0.4727272727272727,0.8363636363636363
2018-03-23,Friendly,amistoso,Tunisia,Iran,1,0,False,1685.462989134129,1805.6033483223007,-20.140359188171715,1.7,0.4,2.4,1.2,1.490909090909091,0.9454545454545454,1.9090909090909092,0.4909090909090909
2018-03-23,Friendly,amistoso,Singapore,Maldives,3,2,False,1288.1714428300397,1235.0503256493087,153.12111718073106,0.3,-1.5,1.0,-0.9,0.5454545454545454,2.1636363636363636,1.1818181818181819,3.272727272727273
2018-03-23,Friendly,amistoso,Turkey,Republic of Ireland,1,0,False,1700.3739769697095,1701.0176180796582,99.3563588900513,1.4,0.0,1.2,-0.3,1.2,1.8363636363636364,0.9454545454545454,1.3636363636363635
2018-03-23,Friendly,amistoso,Ukraine,Saudi Arabia,1,1,True,1728.3822384336552,1626.2224913887342,102.159747044921,1.8,0.3,1.3,-0.4,1.1454545454545455,0.9818181818181818,1.0909090909090908,1.6727272727272726
2018-03-23,Friendly,amistoso,Uruguay,Czech Republic,2,0,True,1823.7257152404106,1690.004429668325,133.72128557208566,0.9,-0.7,1.9,1.3,1.0909090909090908,1.290909090909091,1.981818181818182,0.8727272727272727
2018-03-23,Friendly,amistoso,Norway,Australia,4,1,False,1569.4512555021893,1734.7714194516784,-65.32016394948914,1.1,-0.1,1.3,-0.3,1.490909090909091,1.4,1.3818181818181818,1.0545454545454545
2018-03-23,Friendly,amistoso,Serbia,Morocco,1,2,True,1712.0187493927754,1670.3717476058882,41.64700178688713,1.8,0.6,1.9,1.3,1.5272727272727273,0.7272727272727273,2.1454545454545455,0.41818181818181815
2018-03-23,Friendly,amistoso,Netherlands,England,0,1,False,1835.93791086345,1872.5763072741777,63.36160358927236,2.4,1.6,1.8,0.7,2.4363636363636365,0.6727272727272727,1.1818181818181819,0.45454545454545453
2018-03-23,Friendly,amistoso,Italy,Argentina,0,2,True,1823.9953925065736,1921.594645439669,-97.59925293309539,2.0,1.5,1.8,0.7,1.2363636363636363,0.5818181818181818,1.5818181818181818,1.0545454545454545
2018-03-23,Friendly,amistoso,Japan,Mali,1,1,True,1741.4393088901015,1575.0514115869737,166.38789730312783,1.4,-0.2,0.9,-0.7,1.2727272727272727,1.7636363636363637,0.34545454545454546,1.1090909090909091
2018-03-23,Friendly,amistoso,Austria,Slovenia,3,0,False,1664.8908444374254,1593.7460646246661,171.14477981275923,1.6,0.3,1.5,0.5,1.3636363636363635,0.8909090909090909,1.309090909090909,0.8181818181818182
2018-03-23,Friendly,amistoso,Azerbaijan,Belarus,0,1,False,1424.8706947842802,1538.1397138414766,-13.269019057196374,0.8,-1.0,0.8,-1.0,1.1272727272727272,2.036363636363636,0.9272727272727272,2.272727272727273
2018-03-23,Friendly,amistoso,Bulgaria,Bosnia and Herzegovina,0,1,False,1610.3338125120765,1696.1888123132658,14.145000198810749,1.3,-0.5,1.5,0.8,1.1090909090909091,1.2727272727272727,1.6,1.1818181818181819
