seleccion,elo
Argentina,2026.6575864103477
Spain,2000.1172868836793
France,1976.154905254335
Brazil,1947.4417392507157
Portugal,1914.9226062428675
England,1914.8358861229872
Colombia,1913.230799681303
Germany,1890.4123250915932
Ecuador,1889.3329252658068
Netherlands,1886.1975093528404
Belgium,1879.4114955429973
Japan,1871.7826731365826
Croatia,1867.0640677868628
Morocco,1862.3800761123557
Uruguay,1860.8516554001271
Italy,1854.0097695109396
Mexico,1851.1186982783058
Turkey,1828.0758829413203
Senegal,1820.5354876659621
Iran,1815.8255576017568
South Korea,1814.0824911136363
Switzerland,1813.7985833183377
Algeria,1809.8834785985446
Denmark,1804.2373453297362
Australia,1790.3721550666228
Ukraine,1785.2381847069876
Paraguay,1782.3367692695283
Austria,1780.6528401201426
Norway,1779.1620845364218
Canada,1763.7645927279275
Yugoslavia,1763.2220444112638
Russia,1756.3969372182612
United States,1749.7884401193094
Egypt,1740.5213253304005
Panama,1738.1916234980704
Ivory Coast,1737.551857935214
Nigeria,1733.6360906825294
Uzbekistan,1726.1687442985826
Jersey,1724.639615061543
Chile,1721.631090978954
Venezuela,1721.2928353306445
Serbia,1717.0656939637054
Scotland,1716.9653757368364
Poland,1713.0332260233552
Czechoslovakia,1705.6907988078572
Hungary,1704.786169733428
Sweden,1702.3228597422096
Basque Country,1701.1133774823754
Czech Republic,1699.7974788997135
Tunisia,1699.7474470300467
Peru,1697.3461108463587
Iraq,1697.2764428410715
Greece,1694.2664317487536
Costa Rica,1677.0826661719834
German DR,1676.3204174868024
Guernsey,1672.3244917238
Slovenia,1670.9682497385572
DR Congo,1668.9679513131448
Wales,1668.92339195434
Republic of Ireland,1668.4799715144147
Jordan,1666.3131044741976
Mali,1659.4021729588421
Cameroon,1656.8703027428396
Padania,1652.9522156117373
Slovakia,1652.5672942980136
Saudi Arabia,1644.7001113776396
Burkina Faso,1641.3500321189472
New Zealand,1641.1913215827515
Haiti,1637.359267831255
Kosovo,1635.8782971302464
Bolivia,1628.0463394518683
Romania,1627.1107348576952
Isle of Man,1622.604223899362
Honduras,1619.264141039294
Jamaica,1616.362239431205
Israel,1616.1259082777701
Ynys Môn,1611.9590666366028
United Arab Emirates,1610.2286210413906
Cape Verde,1608.2752346497448
Bosnia and Herzegovina,1607.7208535458515
South Africa,1607.244309853927
Occitania,1605.1139128045058
Iraqi Kurdistan,1601.491480355206
Georgia,1601.416308247226
Catalonia,1589.9250577724351
North Macedonia,1588.160021686561
Isle of Wight,1587.381031348502
Ghana,1587.2759726441384
Northern Cyprus,1583.6976298018874
Iceland,1582.4089070917546
Northern Ireland,1581.8352473495124
Guatemala,1580.7556393801087
Albania,1579.5525826083199
Oman,1571.820875360088
Abkhazia,1566.111913132298
Finland,1564.2959581739885
Andalusia,1561.6789958366153
Syria,1559.9427287657031
Qatar,1557.5576074026458
Kernow,1555.734419288236
Palestine,1553.4287329220638
New Caledonia,1551.3671166381312
Réunion,1550.516847040084
County of Nice,1550.3286542881476
Rhodes,1548.8106880782914
Guinea,1547.1584755890021
Angola,1547.0176569652979
Ellan Vannin,1545.4421011327318
Kárpátalja,1543.9957918710502
Suriname,1543.5115569474924
Belarus,1542.2246507276375
Tamil Eelam,1535.6759480725336
Curaçao,1534.2160965370363
Gabon,1533.559081312103
Kurdistan,1533.1510490667636
Panjab,1532.800829868844
Corsica,1532.278258989259
Benin,1531.3416988836336
China,1531.3209006349607
Yorkshire,1530.2862399350256
Zambia,1529.9069354338803
Arameans Suryoye,1529.1685140110137
Menorca,1523.9492648663877
Galicia,1521.1694075501423
Uganda,1521.0503642243434
Trinidad and Tobago,1520.9783469049942
Artsakh,1520.764922121805
Maule Sur,1519.4167345713752
Cascadia,1519.2745148061695
Thailand,1518.855226570982
North Korea,1517.4186041778987
Bahrain,1516.982550512547
Libya,1516.2313167073082
Chameria,1514.9765602575878
Tahiti,1514.1701350437947
Asturias,1513.3178709372953
Surrey,1511.9345842337816
Montenegro,1511.5257568573522
Crimea,1511.204766408514
Elba Island,1510.6925540200987
Biafra,1510.6354120628318
Brittany,1509.5081403406514
Quebec,1509.1460787251806
Felvidék,1508.261700739664
Donetsk PR,1508.2567510490182
Gambia,1508.0523205075758
Franconia,1506.874983600662
Parishes of Jersey,1506.8449368827842
Guadeloupe,1505.3036288977794
Bulgaria,1505.2952548297083
Canary Islands,1504.6184231379857
Sealand,1503.5198297506627
Matabeleland,1500.8722284962516
Monaco,1500.5141471240454
Central Spain,1500.3669376095977
