seleccion,elo,forma_pts,forma_dif_gol,gf_prom,gc_prom
Argentina,2026.6575864103477,2.5,2.2,2.8181818181818183,0.2
Spain,2000.1172868836793,2.4,2.4,2.3454545454545452,0.5636363636363636
France,1976.154905254335,2.5,1.6,2.5090909090909093,1.0727272727272728
Brazil,1947.4417392507157,1.9,1.4,2.672727272727273,1.2727272727272727
Portugal,1914.9226062428675,2.3,1.7,2.3636363636363638,0.8545454545454545
England,1914.8358861229872,2.5,2.2,1.981818181818182,0.2727272727272727
Colombia,1913.230799681303,2.2,1.5,2.1272727272727274,1.0545454545454545
Germany,1890.4123250915932,2.7,2.0,3.0545454545454547,0.7818181818181819
Ecuador,1889.3329252658068,1.8,0.7,1.5272727272727273,0.5636363636363636
Netherlands,1886.1975093528404,2.1,1.4,1.9272727272727272,0.8
Belgium,1879.4114955429973,2.4,3.1,3.4909090909090907,0.6363636363636364
Japan,1871.7826731365826,2.3,1.3,1.6181818181818182,0.43636363636363634
Croatia,1867.0640677868628,2.2,0.9,1.7454545454545454,1.3818181818181818
Morocco,1862.3800761123557,2.4,1.9,2.4,0.41818181818181815
Uruguay,1860.8516554001271,1.6,0.1,0.8545454545454545,1.0363636363636364
Italy,1854.0097695109396,2.5,1.4,1.690909090909091,0.7818181818181819
Mexico,1851.1186982783058,2.3,1.4,2.090909090909091,0.3090909090909091
Turkey,1828.0758829413203,2.5,1.2,2.3636363636363638,0.7818181818181819
Senegal,1820.5354876659621,2.0,0.7,1.4727272727272727,1.0363636363636364
Iran,1815.8255576017568,1.7,1.1,2.018181818181818,0.5454545454545454
South Korea,1814.0824911136363,1.9,0.2,1.6363636363636365,0.9636363636363636
Switzerland,1813.7985833183377,1.9,1.4,1.981818181818182,1.0545454545454545
Algeria,1809.8834785985446,2.3,1.7,2.272727272727273,0.3090909090909091
Denmark,1804.2373453297362,1.9,1.4,2.2181818181818183,1.1636363636363636
Australia,1790.3721550666228,1.6,0.3,1.290909090909091,1.0909090909090908
Ukraine,1785.2381847069876,1.6,-0.1,1.4545454545454546,1.4181818181818182
Paraguay,1782.3367692695283,1.4,0.0,1.5636363636363637,1.5636363636363637
Austria,1780.6528401201426,2.5,2.3,2.3636363636363638,0.41818181818181815
Norway,1779.1620845364218,2.1,2.3,2.3636363636363638,0.9090909090909091
Canada,1763.7645927279275,1.5,0.4,1.0545454545454545,0.6
Yugoslavia,1763.2220444112638,1.4,0.8,1.7818181818181817,1.4
Russia,1756.3969372182612,2.0,1.2,1.7454545454545454,0.5636363636363636
United States,1749.7884401193094,1.9,0.6,2.327272727272727,1.8545454545454545
Egypt,1740.5213253304005,1.8,0.7,1.2545454545454546,0.6545454545454545
Panama,1738.1916234980704,1.6,0.2,1.8545454545454545,1.8727272727272728
Ivory Coast,1737.551857935214,2.2,1.1,2.1636363636363636,0.8363636363636363
Nigeria,1733.6360906825294,1.9,1.1,1.7454545454545454,1.0
Uzbekistan,1726.1687442985826,1.5,0.5,1.1090909090909091,1.1454545454545455
Jersey,1724.639615061543,2.5,1.7,2.8181818181818183,1.3636363636363635
Chile,1721.631090978954,1.6,-0.2,1.7272727272727273,1.6727272727272726
Venezuela,1721.2928353306445,1.0,-0.6,1.290909090909091,1.2181818181818183
Serbia,1717.0656939637054,1.2,-1.3,0.9272727272727272,2.5272727272727273
Scotland,1716.9653757368364,1.9,1.1,2.381818181818182,1.0545454545454545
Poland,1713.0332260233552,1.8,0.4,1.6545454545454545,1.6181818181818182
Czechoslovakia,1705.6907988078572,1.7,1.2,2.090909090909091,0.7636363636363637
Hungary,1704.786169733428,1.8,0.5,1.6727272727272726,0.9636363636363636
Sweden,1702.3228597422096,0.9,-0.7,1.5818181818181818,2.036363636363636
Basque Country,1701.1133774823754,2.2,1.5,1.981818181818182,0.7272727272727273
Czech Republic,1699.7974788997135,1.6,1.0,2.4545454545454546,1.2727272727272727
Tunisia,1699.7474470300467,1.3,-0.1,0.7818181818181819,1.5818181818181818
Peru,1697.3461108463587,0.6,-0.9,1.0727272727272728,1.8727272727272728
Iraq,1697.2764428410715,1.7,0.1,0.9090909090909091,1.0545454545454545
Greece,1694.2664317487536,0.9,-0.4,0.8181818181818182,1.3272727272727274
Costa Rica,1677.0826661719834,0.8,-0.8,0.8363636363636363,2.309090909090909
German DR,1676.3204174868024,2.2,0.6,1.9454545454545455,1.2
Guernsey,1672.3244917238,1.8,1.3,1.6181818181818182,0.9454545454545454
Slovenia,1670.9682497385572,0.8,-0.6,0.9272727272727272,1.3818181818181818
DR Congo,1668.9679513131448,1.8,0.6,1.0363636363636364,0.5818181818181818
