grupo,equipo_local,equipo_visita,goles_local_real,goles_visita_real
A,Mexico,South Africa,2,0
A,South Korea,Czech Republic,2,1
B,Canada,Bosnia and Herzegovina,1,1
D,United States,Paraguay,4,1
B,Qatar,Switzerland,1,1
C,Brazil,Morocco,1,1
C,Haiti,Scotland,0,1
D,Australia,Turkey,2,0
E,Germany,Curaçao,7,1
F,Netherlands,Japan,2,2
E,Ivory Coast,Ecuador,1,0
F,Sweden,Tunisia,5,1
H,Spain,Cape Verde,0,0
G,Belgium,Egypt,1,1
H,Saudi Arabia,Uruguay,1,1
G,Iran,New Zealand,2,2
I,France,Senegal,3,1
I,Iraq,Norway,1,4
J,Argentina,Algeria,3,0
J,Austria,Jordan,3,1
K,Portugal,DR Congo,1,1
L,England,Croatia,4,2
L,Ghana,Panama,1,0
K,Uzbekistan,Colombia,1,3
A,South Africa,Czech Republic,1,1
B,Bosnia and Herzegovina,Switzerland,1,4
B,Canada,Qatar,6,0
A,Mexico,South Korea,1,0
D,United States,Australia,2,0
C,Morocco,Scotland,1,0
C,Brazil,Haiti,3,0
D,Paraguay,Turkey,1,0
F,Netherlands,Sweden,5,1
E,Germany,Ivory Coast,2,1
E,Curaçao,Ecuador,0,0
F,Japan,Tunisia,4,0
H,Spain,Saudi Arabia,4,0
G,Belgium,Iran,0,0
H,Cape Verde,Uruguay,2,2
G,Egypt,New Zealand,3,1
J,Argentina,Austria,2,0
I,France,Iraq,3,0
I,Senegal,Norway,2,3
J,Algeria,Jordan,2,1
K,Portugal,Uzbekistan,5,0
L,England,Ghana,0,0
L,Croatia,Panama,1,0
K,DR Congo,Colombia,0,1
B,Bosnia and Herzegovina,Qatar,3,1
B,Switzerland,Canada,2,1
C,Morocco,Haiti,4,2
C,Scotland,Brazil,0,3
A,South Africa,South Korea,1,0
A,Czech Republic,Mexico,0,3
E,Curaçao,Ivory Coast,0,2
E,Ecuador,Germany,2,1
F,Tunisia,Netherlands,1,3
F,Japan,Sweden,1,1
D,Paraguay,Australia,0,0
D,Turkey,United States,3,2
I,Senegal,Iraq,5,0
I,Norway,France,1,4
H,Uruguay,Spain,0,1
H,Cape Verde,Saudi Arabia,0,0
G,New Zealand,Belgium,1,5
G,Egypt,Iran,1,1
L,Panama,England,0,2
L,Croatia,Ghana,2,1
K,DR Congo,Uzbekistan,3,1
K,Colombia,Portugal,0,0
J,Algeria,Austria,3,3
J,Jordan,Argentina,1,3
